id,consume
0,0.65828216
1,0.5627512
2,1.11547
3,0.6951666
4,0.5260782
5,1.2601169
6,0.33083522
7,0.647491
8,2.7360463
9,0.7265857
10,0.6120059
11,0.796028
12,0.54496926
13,0.95246136
14,0.98197746
15,0.73732936
16,0.58700544
17,1.1066695
18,0.3376275
19,0.61996675
20,0.69685334
21,0.60885316
22,1.2475682
23,0.63842976
24,0.75075454
25,0.38044584
26,0.64984953
27,0.6426794
28,0.53366584
29,1.3764828
30,0.3344693
31,0.6276004
32,0.7046652
33,0.7615409
34,1.7390988
35,0.82717127
36,0.7022999
37,0.5204532
38,1.3509506
39,0.6391053
40,0.623842
41,0.7437572
42,1.2709372
43,0.85014254
44,0.6362851
45,0.9749964
46,0.63479203
47,1.1146688
48,1.4583389
49,0.6573372
50,0.2562379
51,0.62435263
52,0.32927048
53,0.5035113
54,0.33637568
55,0.47874388
56,0.61915845
57,0.63948184
58,0.6826929
59,0.87838745
60,0.82341933
61,0.8341866
62,0.80633444
63,1.4191955
64,0.7007489
65,0.74696547
66,0.6470611
67,1.79103
68,0.77055043
69,0.81654805
